order_line,order_id,order_date,ship_date,ship_mode,customer_id,product_id,sales,quantity,discount,profit
5631,Ca-New-2014-127614,11-Feb-14,15-Feb-14,Standard Class,NF-18385,TEC-AC-10001432,234.45,3,0,103.158
5683,Ca-New-2014-164315,02-Apr-14,08-Apr-14,Standard Class,RD-19585,OFF-PA-10004248,15.84,3,0,7.128
5706,Ca-New-2014-155593,03-Nov-14,08-Nov-14,Standard Class,RP-19390,OFF-SU-10002522,11.64,3,0,3.3756
5714,US-2014-143707,01-Mar-14,05-Mar-14,Standard Class,HR-14770,TEC-PH-10003655,5.94,3,0,1.6038
5779,Ca-New-2014-105270,11-Nov-14,18-Nov-14,Standard Class,AP-10915,OFF-AR-10003156,30.48,3,0,7.9248
5878,Ca-New-2014-152443,21-May-14,26-May-14,Standard Class,FG-14260,OFF-PA-10003022,17.94,3,0,8.7906
5896,Ca-New-2014-168305,01-Nov-14,08-Nov-14,Standard Class,PL-18925,OFF-LA-10003498,44.4,3,0,22.2
6018,Ca-New-2014-102652,06-Apr-14,12-Apr-14,Standard Class,AY-10555,OFF-PA-10003309,19.44,3,0,9.3312
6312,Ca-New-2014-112837,11-Sep-14,16-Sep-14,Standard Class,LW-17125,FUR-FU-10004006,127.95,3,0,21.7515
6317,Ca-New-2014-100762,24-Nov-14,29-Nov-14,Standard Class,NG-18355,OFF-PA-10001815,144.12,3,0,69.1776
6324,Ca-New-2014-104402,17-Jun-14,23-Jun-14,Standard Class,DB-13660,TEC-MA-10000423,65.97,3,0,31.0059
6328,Ca-New-2014-167927,20-Jan-14,26-Jan-14,Standard Class,XP-21865,FUR-FU-10002918,272.94,3,0,30.0234
6332,Ca-New-2014-167927,20-Jan-14,26-Jan-14,Standard Class,XP-21865,OFF-AR-10004456,43.92,3,0,12.7368
6333,Ca-New-2014-167927,20-Jan-14,26-Jan-14,Standard Class,XP-21865,FUR-FU-10002268,14.73,3,0,4.8609
6563,Ca-New-2014-166086,07-May-14,12-May-14,Standard Class,CT-11995,OFF-BI-10001078,16.14,3,0,7.9086
6565,Ca-New-2014-166086,07-May-14,12-May-14,Standard Class,CT-11995,OFF-AR-10002578,8.64,3,0,2.5056
6600,Ca-New-2014-154095,02-Dec-14,07-Dec-14,Standard Class,ON-18715,FUR-FU-10003849,60.72,3,0,23.6808
6601,Ca-New-2014-154095,02-Dec-14,07-Dec-14,Standard Class,ON-18715,OFF-PA-10002923,146.82,3,0,73.41
6708,Ca-New-2014-167724,13-Apr-14,18-Apr-14,Standard Class,BF-11170,OFF-LA-10002368,7.83,3,0,3.6018
6816,Ca-New-2014-144414,17-Jun-14,21-Jun-14,Standard Class,GH-14425,FUR-FU-10003981,6.24,3,0,2.6208
7162,Ca-New-2014-138709,04-Jul-14,09-Jul-14,Standard Class,MS-17770,OFF-PA-10004734,21.84,3,0,10.92
7343,Ca-New-2014-116190,26-Jul-14,01-Aug-14,Standard Class,SG-20470,FUR-FU-10000719,25.71,3,0,9.2556
7428,US-2014-164763,17-Mar-14,21-Mar-14,Standard Class,MH-17440,OFF-BI-10000605,11.43,3,0,5.3721
7432,US-2014-164763,17-Mar-14,21-Mar-14,Standard Class,MH-17440,OFF-AP-10003971,32.67,3,0,8.4942
7469,Ca-New-2014-138100,15-Sep-14,20-Sep-14,Standard Class,AA-10315,OFF-PA-10000349,14.94,3,0,7.0218
7551,Ca-New-2014-140396,20-Nov-14,25-Nov-14,Standard Class,KH-16330,OFF-EN-10002592,34.74,3,0,17.37
7559,US-2014-137155,01-Nov-14,05-Nov-14,Standard Class,DL-12925,OFF-AP-10002518,533.94,3,0,154.8426
7560,US-2014-137155,01-Nov-14,05-Nov-14,Standard Class,DL-12925,OFF-PA-10000806,167.94,3,0,82.2906
7571,Ca-New-2014-133830,05-Dec-14,10-Dec-14,Standard Class,RL-19615,OFF-FA-10002280,15,3,0,7.2
7586,Ca-New-2014-163223,21-Mar-14,25-Mar-14,Standard Class,KH-16690,OFF-PA-10000675,122.97,3,0,60.2553
7588,Ca-New-2014-163223,21-Mar-14,25-Mar-14,Standard Class,KH-16690,OFF-BI-10001597,122.94,3,0,59.0112
7623,US-2014-144078,25-Nov-14,29-Nov-14,Standard Class,RB-19435,OFF-AR-10004707,7.44,3,0,2.604
7777,Ca-New-2014-166961,27-Dec-14,31-Dec-14,Standard Class,CD-12790,OFF-FA-10003485,7.86,3,0,3.6156
7778,Ca-New-2014-166961,27-Dec-14,31-Dec-14,Standard Class,CD-12790,OFF-ST-10004507,51.45,3,0,13.8915
7823,US-2014-115413,26-Aug-14,01-Sep-14,Standard Class,PP-18955,OFF-AR-10003770,8.64,3,0,2.5056
7824,US-2014-115413,26-Aug-14,01-Sep-14,Standard Class,PP-18955,TEC-AC-10002800,149.97,3,0,52.4895
7840,US-2014-137869,28-Mar-14,02-Apr-14,Standard Class,CV-12295,OFF-EN-10001509,6.12,3,0,2.8764
7978,Ca-New-2014-166051,31-May-14,05-Jun-14,Standard Class,JK-15625,TEC-PH-10002680,659.97,3,0,197.991
7979,Ca-New-2014-166051,31-May-14,05-Jun-14,Standard Class,JK-15625,TEC-PH-10002538,113.73,3,0,32.9817
8243,Ca-New-2014-109855,01-Sep-14,05-Sep-14,Standard Class,LH-16900,TEC-AC-10002842,357,3,0,57.12
8245,Ca-New-2014-109897,12-Aug-14,16-Aug-14,Standard Class,BW-11200,FUR-FU-10002878,85.44,3,0,31.6128
8246,US-2014-143581,19-Aug-14,23-Aug-14,Standard Class,BS-11365,OFF-ST-10000991,344.91,3,0,10.3473
8300,US-2014-103338,11-Mar-14,15-Mar-14,Standard Class,RB-19435,OFF-AR-10001770,7.98,3,0,2.0748
8462,Ca-New-2014-146500,30-Aug-14,04-Sep-14,Standard Class,AT-10735,OFF-ST-10000563,95.94,3,0,9.594
8536,US-2014-163146,16-May-14,20-May-14,Standard Class,CC-12475,TEC-AC-10002217,56.4,3,0,3.384
8600,Ca-New-2014-141110,26-Nov-14,01-Dec-14,Standard Class,LS-17200,OFF-PA-10002586,14.94,3,0,7.0218
8683,Ca-New-2014-133634,05-Nov-14,10-Nov-14,Standard Class,SR-20740,TEC-AC-10002550,47.79,3,0,16.2486
9003,Ca-New-2014-103807,02-Dec-14,09-Dec-14,Standard Class,EM-13825,OFF-PA-10002195,15.24,3,0,7.1628
9050,Ca-New-2014-124513,21-Sep-14,25-Sep-14,Standard Class,SL-20155,OFF-AR-10002956,66.03,3,0,17.1678
9078,US-2014-124625,03-Nov-14,07-Nov-14,Standard Class,SP-20650,TEC-AC-10003280,89.97,3,0,18.8937
9214,Ca-New-2014-144071,08-Dec-14,15-Dec-14,Standard Class,DJ-13420,FUR-FU-10000758,79.44,3,0,28.5984
9285,Ca-New-2014-161032,18-Nov-14,23-Nov-14,Standard Class,MK-17905,FUR-CH-10001482,392.94,3,0,43.2234
9425,Ca-New-2014-145254,23-Jul-14,27-Jul-14,Standard Class,NC-18535,TEC-AC-10002167,45,3,0,4.95
9459,Ca-New-2014-138240,09-Oct-14,14-Oct-14,Standard Class,SJ-20500,OFF-AR-10002135,144.6,3,0,41.934
9628,Ca-New-2014-139283,23-Nov-14,27-Nov-14,Standard Class,BT-11440,OFF-BI-10002049,14.67,3,0,6.7482
9649,Ca-New-2014-150518,19-Nov-14,24-Nov-14,Standard Class,MW-18220,TEC-PH-10002103,281.97,3,0,78.9516
9656,Ca-New-2014-156160,22-Sep-14,29-Sep-14,Standard Class,AS-10090,FUR-FU-10001876,97.44,3,0,35.0784
9762,Ca-New-2014-121762,14-Feb-14,18-Feb-14,Standard Class,ML-17395,TEC-AC-10000736,239.97,3,0,86.3892
9823,US-2014-164406,15-Aug-14,19-Aug-14,Standard Class,BD-11605,OFF-AP-10003287,152.91,3,0,42.8148
9824,US-2014-164406,15-Aug-14,19-Aug-14,Standard Class,BD-11605,OFF-PA-10000167,92.94,3,0,41.823
9885,Ca-New-2014-112291,03-Apr-14,08-Apr-14,Standard Class,KE-16420,TEC-AC-10001284,62.31,3,0,22.4316
9887,Ca-New-2014-146997,23-Jan-14,27-Jan-14,Standard Class,SG-20605,OFF-FA-10003467,5.94,3,0,0
25,Ca-New-2015-106320,25-Sep-15,30-Sep-15,Standard Class,EB-13870,FUR-TA-10000577,1044.63,3,0,240.2649
48,Ca-New-2016-169194,20-Jun-16,25-Jun-16,Standard Class,LH-16900,TEC-AC-10002167,45,3,0,4.95
65,Ca-New-2015-135545,24-Nov-15,30-Nov-15,Standard Class,KM-16720,OFF-PA-10003892,146.73,3,0,68.9631
90,Ca-New-2016-109806,17-Sep-16,22-Sep-16,Standard Class,JS-15685,OFF-AR-10004930,20.1,3,0,6.633
118,Ca-New-2015-110457,02-Mar-15,06-Mar-15,Standard Class,DK-13090,FUR-TA-10001768,787.53,3,0,165.3813
134,Ca-New-2016-145583,13-Oct-16,19-Oct-16,Standard Class,LC-16885,OFF-PA-10001804,20.04,3,0,9.6192
149,Ca-New-2016-114489,05-Dec-16,09-Dec-16,Standard Class,JE-16165,TEC-PH-10001448,149.97,3,0,5.9988
157,Ca-New-2015-118948,28-May-15,03-Jun-15,Standard Class,NK-18490,OFF-AR-10001547,6.63,3,0,1.7901
301,Ca-New-2016-142545,28-Oct-16,03-Nov-16,Standard Class,JD-15895,OFF-PA-10004243,56.91,3,0,27.3168
306,Ca-New-2014-130960,30-Dec-14,04-Jan-15,Standard Class,KB-16600,OFF-AR-10003651,9.84,3,0,2.8536
479,Ca-New-2016-152632,27-Oct-16,02-Nov-16,Standard Class,JE-15475,FUR-FU-10002671,40.2,3,0,19.296
508,Ca-New-2015-145352,16-Mar-15,22-Mar-15,Standard Class,CM-12385,OFF-AR-10003856,8.34,3,0,2.1684
509,Ca-New-2015-145352,16-Mar-15,22-Mar-15,Standard Class,CM-12385,OFF-ST-10001228,46.74,3,0,11.685
539,Ca-New-2015-134894,07-Dec-15,11-Dec-15,Standard Class,DK-12985,OFF-AP-10001271,152.94,3,0,41.2938
575,Ca-New-2016-127250,03-Nov-16,07-Nov-16,Standard Class,SF-20200,OFF-AR-10003394,8.82,3,0,2.3814
588,Ca-New-2015-128139,03-Jul-15,09-Jul-15,Standard Class,BD-11725,OFF-LA-10003930,294.93,3,0,144.5157
641,Ca-New-2016-147067,18-Dec-16,22-Dec-16,Standard Class,JD-16150,FUR-FU-10000732,18.84,3,0,6.0288
721,Ca-New-2016-112942,13-Feb-16,18-Feb-16,Standard Class,RD-19810,OFF-PA-10004092,146.82,3,0,73.41
722,Ca-New-2016-142335,15-Dec-16,19-Dec-16,Standard Class,MP-17965,FUR-TA-10000198,1652.94,3,0,231.4116
723,Ca-New-2016-142335,15-Dec-16,19-Dec-16,Standard Class,MP-17965,OFF-ST-10000036,296.37,3,0,80.0199
786,Ca-New-2015-154921,23-May-15,28-May-15,Standard Class,EA-14035,OFF-EN-10000056,186.69,3,0,87.7443
792,Ca-New-2015-115938,26-Jun-15,30-Jun-15,Standard Class,SA-20830,FUR-CH-10003199,332.94,3,0,79.9056
840,Ca-New-2015-100454,20-Nov-15,25-Nov-15,Standard Class,BM-11650,OFF-AR-10004648,60.45,3,0,16.3215
848,Ca-New-2015-114300,13-Oct-15,17-Oct-15,Standard Class,AF-10885,FUR-CH-10001891,287.94,3,0,77.7438
855,Ca-New-2016-123274,19-Feb-16,24-Feb-16,Standard Class,GT-14710,OFF-ST-10000736,242.94,3,0,9.7176
876,Ca-New-2016-116736,17-Jan-16,21-Jan-16,Standard Class,CC-12430,FUR-FU-10004017,322.59,3,0,64.518
878,Ca-New-2016-116736,17-Jan-16,21-Jan-16,Standard Class,CC-12430,TEC-AC-10002049,371.97,3,0,66.9546
904,Ca-New-2016-130477,08-Apr-16,12-Apr-16,Standard Class,LC-17140,OFF-PA-10002947,20.04,3,0,9.6192
922,Ca-New-2015-111164,11-Apr-15,15-Apr-15,Standard Class,SE-20110,TEC-AC-10002473,85.14,3,0,34.9074
945,Ca-New-2015-120880,29-May-15,03-Jun-15,Standard Class,JL-15850,OFF-ST-10001496,540.57,3,0,140.5482
998,Ca-New-2015-162537,28-Oct-15,03-Nov-15,Standard Class,RD-19585,OFF-ST-10004258,36.63,3,0,9.8901
1005,Ca-New-2015-126445,27-Aug-15,31-Aug-15,Standard Class,RA-19945,OFF-ST-10000046,484.65,3,0,92.0835
1018,Ca-New-2015-108665,06-Jul-15,10-Jul-15,Standard Class,KM-16225,FUR-FU-10000965,155.82,3,0,63.8862
1021,Ca-New-2015-124450,27-Apr-15,03-May-15,Standard Class,GT-14710,OFF-AR-10001166,22.74,3,0,8.8686
1022,Ca-New-2015-124450,27-Apr-15,03-May-15,Standard Class,GT-14710,FUR-CH-10000309,1267.53,3,0,316.8825
1105,Ca-New-2016-112340,21-Oct-16,27-Oct-16,Standard Class,NM-18520,OFF-PA-10001892,22.92,3,0,11.2308
1176,Ca-New-2016-161207,29-Aug-16,03-Sep-16,Standard Class,AB-10060,OFF-SU-10000381,27.93,3,0,8.0997
1179,Ca-New-2016-113621,01-Dec-16,05-Dec-16,Standard Class,JE-15745,TEC-PH-10003931,179.97,3,0,44.9925
1287,Ca-New-2015-124268,04-Jul-15,08-Jul-15,Standard Class,AD-10180,OFF-AR-10004817,15.48,3,0,4.4892
1290,Ca-New-2016-154711,22-Nov-16,26-Nov-16,Standard Class,TB-21355,OFF-AR-10001860,20.82,3,0,7.4952
1293,Ca-New-2015-101707,27-Aug-15,01-Sep-15,Standard Class,PF-19165,OFF-SU-10001218,32.94,3,0,9.2232
1330,Ca-New-2016-142762,23-May-16,27-May-16,Standard Class,LD-17005,FUR-FU-10003691,37.05,3,0,16.302
1344,Ca-New-2015-131758,28-May-15,01-Jun-15,Standard Class,KB-16315,OFF-AR-10000411,47.82,3,0,14.346
1402,Ca-New-2016-159212,01-Nov-16,05-Nov-16,Standard Class,KM-16375,OFF-EN-10002230,251.79,3,0,118.3413
1482,US-2016-108455,02-Dec-16,08-Dec-16,Standard Class,MK-18160,OFF-ST-10002214,33.87,3,0,8.8062
1485,US-2016-108098,14-Oct-16,18-Oct-16,Standard Class,CP-12340,TEC-AC-10000865,177,3,0,30.09
1488,Ca-New-2015-140410,03-Nov-15,07-Nov-15,Standard Class,CM-12655,TEC-AC-10001109,89.97,3,0,37.7874
1489,Ca-New-2015-140410,03-Nov-15,07-Nov-15,Standard Class,CM-12655,FUR-FU-10003347,42.6,3,0,16.614
1536,Ca-New-2016-112389,29-Oct-16,02-Nov-16,Standard Class,JM-15655,OFF-ST-10000419,40.74,3,0,0.4074
1537,Ca-New-2016-112389,29-Oct-16,02-Nov-16,Standard Class,JM-15655,OFF-AP-10001626,11.67,3,0,3.0342
1555,Ca-New-2015-111507,06-Feb-15,13-Feb-15,Standard Class,VW-21775,OFF-AR-10001315,5.28,3,0,1.5312
1618,Ca-New-2015-130022,10-Aug-15,16-Aug-15,Standard Class,JK-16120,OFF-AR-10001915,29.79,3,0,12.5118
1626,Ca-New-2015-157084,19-Dec-15,24-Dec-15,Standard Class,JG-15160,TEC-AC-10002049,1265.85,3,0,556.974
1639,Ca-New-2016-157266,26-May-16,01-Jun-16,Standard Class,TB-21280,OFF-PA-10002689,19.44,3,0,9.3312
1642,Ca-New-2016-157266,26-May-16,01-Jun-16,Standard Class,TB-21280,FUR-FU-10000629,41.37,3,0,17.3754
1677,Ca-New-2016-122728,18-May-16,24-May-16,Standard Class,EB-13930,OFF-ST-10000604,104.28,3,0,26.07
1678,Ca-New-2016-122728,18-May-16,24-May-16,Standard Class,EB-13930,OFF-PA-10004040,17.94,3,0,8.7906
1684,Ca-New-2016-147585,07-Nov-16,12-Nov-16,Standard Class,CB-12535,FUR-FU-10002597,14.82,3,0,6.2244
1738,Ca-New-2015-130204,03-Sep-15,09-Sep-15,Standard Class,DB-13120,OFF-ST-10001325,31.44,3,0,8.4888
1780,Ca-New-2016-124667,11-Nov-16,16-Nov-16,Standard Class,BD-11770,TEC-AC-10003447,59.97,3,0,14.9925
1783,Ca-New-2015-111094,09-Jul-15,13-Jul-15,Standard Class,CB-12535,OFF-BI-10001597,122.94,3,0,59.0112
1788,Ca-New-2015-154326,15-Feb-15,19-Feb-15,Standard Class,RP-19855,TEC-PH-10001819,134.97,3,0,64.7856
1795,Ca-New-2016-140774,05-Sep-16,10-Sep-16,Standard Class,BE-11455,OFF-AR-10004022,107.94,3,0,26.985
1911,Ca-New-2016-105963,15-Nov-16,22-Nov-16,Standard Class,SC-20770,TEC-AC-10003832,99.39,3,0,40.7499
1988,Ca-New-2015-127509,09-Nov-15,13-Nov-15,Standard Class,AS-10090,OFF-BI-10002393,17.22,3,0,7.9212
1990,Ca-New-2015-127509,09-Nov-15,13-Nov-15,Standard Class,AS-10090,OFF-EN-10000781,26.22,3,0,12.3234
1991,Ca-New-2015-127509,09-Nov-15,13-Nov-15,Standard Class,AS-10090,OFF-PA-10002160,17.34,3,0,8.4966
2029,Ca-New-2015-117961,26-Nov-15,30-Nov-15,Standard Class,GP-14740,OFF-BI-10000343,14.73,3,0,6.9231
2032,Ca-New-2015-117961,26-Nov-15,30-Nov-15,Standard Class,GP-14740,OFF-PA-10001274,10.95,3,0,5.1465
2037,Ca-New-2015-119214,23-Jan-15,27-Jan-15,Standard Class,CW-11905,OFF-PA-10002893,29.04,3,0,13.9392
2047,Ca-New-2016-131835,17-Jul-16,21-Jul-16,Standard Class,MC-17590,TEC-PH-10001760,597,3,0,280.59
2055,Ca-New-2016-136434,01-Dec-16,07-Dec-16,Standard Class,RD-19480,FUR-FU-10001196,17.31,3,0,5.193
2088,Ca-New-2016-140501,23-Jun-16,28-Jun-16,Standard Class,IM-15070,OFF-PA-10003129,146.73,3,0,68.9631
2098,US-2016-146570,15-May-16,20-May-16,Standard Class,SN-20710,OFF-AR-10003856,8.34,3,0,2.1684
2133,Ca-New-2015-156524,20-Nov-15,26-Nov-15,Standard Class,DL-12865,OFF-PA-10003883,19.65,3,0,9.039
2153,Ca-New-2015-123505,22-Nov-15,26-Nov-15,Standard Class,AR-10540,OFF-PA-10002586,14.94,3,0,7.0218
2181,Ca-New-2016-128818,07-May-16,11-May-16,Standard Class,CJ-12010,OFF-LA-10003923,44.4,3,0,22.2
